height,id,left,tag,top,width,bottom,right
0.8312236,79e39c6d-f0de-4deb-b603-ffc0b39bcf3b,0.16455697,Person,0.019976266,0.35021096,0.851199866,0.51476793
0.27314082,79e39c6d-f0de-4deb-b603-ffc0b39bcf3b,0.5780590999999999,Person,0.0,0.12236287,0.27314082,0.70042197
0.24472573,79e39c6d-f0de-4deb-b603-ffc0b39bcf3b,0.70464134,Person,0.019976266,0.080168776,0.264701996,0.7848101160000001
0.05485232,79e39c6d-f0de-4deb-b603-ffc0b39bcf3b,0.61603373,SafetyGlass,0.06217036,0.080168776,0.11702268,0.6962025059999999
0.8695652,b7782480-bd8a-460a-867a-917cfe1ee786,0.6687764,Person,0.031646285,0.1877637,0.901211485,0.8565401
0.41304347,b7782480-bd8a-460a-867a-917cfe1ee786,0.67932487,Vest,0.26715353,0.17299578,0.6801969999999999,0.85232065
0.5183675,b7782480-bd8a-460a-867a-917cfe1ee786,0.2936601,Person,0.33000702,0.14435199,0.8483745199999999,0.43801208999999997
0.15097378,b7782480-bd8a-460a-867a-917cfe1ee786,0.21549559,HardHat,0.024965852,0.11967152,0.175939632,0.33516711
0.32971016,b7782480-bd8a-460a-867a-917cfe1ee786,0.48312235,Vest,0.32874775,0.16244726,0.65845791,0.64556961
0.41304347,b7782480-bd8a-460a-867a-917cfe1ee786,0.18354431,Vest,0.24903760000000003,0.12447257,0.66208107,0.30801688
0.050724637,b7782480-bd8a-460a-867a-917cfe1ee786,0.52109706,SafetyGlass,0.19831295,0.08649789,0.249037587,0.60759495
0.07608695,b7782480-bd8a-460a-867a-917cfe1ee786,0.51898736,HardHat,0.12584919,0.0907173,0.20193614,0.60970466
0.06521739,b7782480-bd8a-460a-867a-917cfe1ee786,0.33966243,HardHat,0.30700859999999996,0.067510545,0.37222598999999995,0.40717297500000005
0.12522572,b7782480-bd8a-460a-867a-917cfe1ee786,0.70945346,HardHat,0.061371423,0.096643865,0.18659714300000002,0.806097325
0.72530353,b7782480-bd8a-460a-867a-917cfe1ee786,0.4684415,Person,0.17612943,0.17527544,0.9014329600000001,0.64371694
0.8695652,b7782480-bd8a-460a-867a-917cfe1ee786,0.14978904,Person,0.031646285,0.1814346,0.901211485,0.33122364000000004
0.19365079999999998,f440d3e7-1371-4e74-b345-b9efacd24927,0.43459916,Head,0.3547123,0.14345992,0.5483631,0.57805908
0.24761905,f440d3e7-1371-4e74-b345-b9efacd24927,0.18354431,Head,0.17375992,0.21729958,0.42137897,0.40084389
0.20952381,f440d3e7-1371-4e74-b345-b9efacd24927,0.4599156,HardHat,0.21502976,0.15611814,0.42455357,0.61603374
0.10793651,f440d3e7-1371-4e74-b345-b9efacd24927,0.41983122,SafetyGlass,0.36741072,0.16877638,0.47534723,0.5886076
0.95873016,f440d3e7-1371-4e74-b345-b9efacd24927,0.042194095,Person,0.027728173999999998,0.36919832,0.986458334,0.411392415
0.7626980999999999,f440d3e7-1371-4e74-b345-b9efacd24927,0.42445302,Person,0.23730192,0.19409119,1.0000000199999999,0.61854421
0.23921101,f440d3e7-1371-4e74-b345-b9efacd24927,0.19581611,HardHat,0.0,0.24416207,0.23921101,0.43997818
0.15189873,da1d6e8f-b6e7-443e-94a4-2ddae4bf93a8,0.1814346,Head,0.26181763,0.11814346,0.41371636,0.29957806
0.16180682,da1d6e8f-b6e7-443e-94a4-2ddae4bf93a8,0.1520201,HardHat,0.18698227,0.12866911,0.34878909,0.28068921
0.7698201,da1d6e8f-b6e7-443e-94a4-2ddae4bf93a8,0.11792887,Person,0.21996969,0.22925478,0.98978979,0.34718365
0.9729880999999999,4db02b13-d8f5-450d-8938-22ceba819793,0.10970464,Person,0.009803922,0.4177215,0.9827920219999999,0.52742614
0.73202616,4db02b13-d8f5-450d-8938-22ceba819793,0.09704641,Vest,0.23769404,0.46413502,0.9697202,0.56118143
0.05882353,4db02b13-d8f5-450d-8938-22ceba819793,0.20253165,SafetyGlass,0.14945874,0.080168776,0.20828227,0.282700426
0.12745099,4db02b13-d8f5-450d-8938-22ceba819793,0.22784810000000003,Head,0.10697508,0.16666667,0.23442607,0.39451477
0.17320262,4db02b13-d8f5-450d-8938-22ceba819793,0.0,Head,0.22462215,0.088607594,0.39782477,0.088607594
0.15032679999999998,4db02b13-d8f5-450d-8938-22ceba819793,0.0,HardHat,0.13965482,0.1329114,0.28998162,0.1329114
0.8342014000000001,4db02b13-d8f5-450d-8938-22ceba819793,0.0,Person,0.16579860000000002,0.11814346,1.0,0.11814346
0.14705883,4db02b13-d8f5-450d-8938-22ceba819793,0.21308017,HardHat,0.0056678922999999996,0.19198312,0.1527267223,0.40506329
0.22563297,5f745fdf-0a0a-49bf-9029-f6c58f3a57f1,0.16515741,HardHat,0.01845482,0.14208803,0.24408779,0.30724544
0.9912523999999999,5f745fdf-0a0a-49bf-9029-f6c58f3a57f1,0.056277055,Person,0.0,0.3874459,0.9912523999999999,0.44372295500000003
0.08108108,5f745fdf-0a0a-49bf-9029-f6c58f3a57f1,0.83549786,Head,0.43140686,0.064935066,0.51248794,0.900432926
0.2818533,5f745fdf-0a0a-49bf-9029-f6c58f3a57f1,0.14935064,Head,0.16885859,0.15800866,0.45071189,0.3073593
0.12355212,5f745fdf-0a0a-49bf-9029-f6c58f3a57f1,0.8246753000000001,HardHat,0.33874276,0.07575758,0.46229487999999996,0.9004328800000001
0.66409266,5f745fdf-0a0a-49bf-9029-f6c58f3a57f1,0.7987013000000001,Person,0.32715976,0.15367965,0.99125242,0.95238095
0.35521236,5f745fdf-0a0a-49bf-9029-f6c58f3a57f1,0.13419913,Head,0.06847249,0.1904762,0.42368485,0.32467533000000004
0.13876095,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.18533686,HardHat,0.47895154,0.10661787,0.61771249,0.29195473
0.62505877,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.3736842,Person,0.37494126,0.25263157,1.00000003,0.62631577
0.13477668,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.43612587,HardHat,0.40917173,0.10839188,0.54394841,0.54451775
0.124060154,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.67105263,Head,0.49148262,0.07368421,0.615542774,0.7447368400000001
0.09398496,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.44473684,Head,0.5290766,0.09736842,0.62306156,0.54210526
0.5494873,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.6510198,Person,0.41599035,0.15186113,0.96547765,0.80288093
0.09022556,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.65,HardHat,0.42757285,0.10526316,0.51779841,0.75526316
0.075187966,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.21315789,Head,0.6117834,0.07105263,0.686971366,0.28421052
0.4384048,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.18194339,Person,0.5306484,0.18373075,0.9690532000000001,0.36567414
0.15413533,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.65789473,Head,0.44261044,0.09210526,0.59674577,0.74999999
0.13533835,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.19473684,Head,0.5441142,0.10789473,0.6794525499999999,0.30263156999999996
0.16165413,b01b0be5-2bc3-420e-bb0b-40026210eb45,0.4394737,Head,0.44636983,0.11315789999999999,0.60802396,0.5526316
0.9683325999999999,592746fa-5806-4591-9a73-0911b23ac3c0,0.013793706999999999,Person,0.031666398,0.51731575,0.9999989979999999,0.531109457
0.22468354,592746fa-5806-4591-9a73-0911b23ac3c0,0.25527427,HardHat,0.0054885284,0.30379745,0.23017206839999999,0.55907172
0.44936708,592746fa-5806-4591-9a73-0911b23ac3c0,0.24894515,Head,0.018146757,0.25949368,0.467513837,0.50843883
0.19620253,592746fa-5806-4591-9a73-0911b23ac3c0,0.29324895,SafetyGlass,0.14156447,0.24683544,0.33776700000000004,0.54008439
0.33544305,592746fa-5806-4591-9a73-0911b23ac3c0,0.23206751,Head,0.1700455,0.2742616,0.50548855,0.50632911
0.64285713,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.65611815,Person,0.13433975,0.10759494,0.77719688,0.76371309
0.11873664,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.17537369,HardHat,0.0044545570000000005,0.124500975,0.123191197,0.299874665
0.10902256,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.79324895,Head,0.23960291,0.08227848,0.34862547,0.87552743
0.1142329,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.7908883000000001,HardHat,0.15837282,0.08513814,0.27260572,0.8760264400000001
0.981203,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.16666667,Person,0.0065202066,0.14135021,0.9877232066,0.30801688
0.85714287,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.7700422,Person,0.12682095,0.16666667,0.98396382,0.93670887
0.20676692,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.7742616,Head,0.14561795,0.11181434,0.35238486999999996,0.88607594
0.09398496,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.6708861,HardHat,0.17569314,0.06962025,0.26967810000000003,0.74050635
0.13938273,718ef248-15f1-4cd7-9ed3-8bd999a310e9,0.20078334,Head,0.10072062,0.10315492,0.24010335,0.30393826
0.25,b8944d1c-df84-4ce1-94fd-45e7f949bafa,0.4535865,Head,0.30612144,0.12447257,0.5561214400000001,0.57805907
0.17405063,b8944d1c-df84-4ce1-94fd-45e7f949bafa,0.46413502,Head,0.40422270000000005,0.11181434,0.57827333,0.57594936
0.15772828,b8944d1c-df84-4ce1-94fd-45e7f949bafa,0.45215550000000004,HardHat,0.2656084,0.13400576,0.42333668,0.58616126
0.09808881,b8944d1c-df84-4ce1-94fd-45e7f949bafa,0.44664709999999996,SafetyGlass,0.39448068,0.1443494,0.49256948999999994,0.5909964999999999
